
"Plagih GP by Simon Fehrer, inspired by Karoo (Kai Staats)",Generation:,245

tree_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree_depth_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
node_depth,0,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14
node_type,f2f,f2f,f2f,f2f,f2f,2f,2f,f2f,f2f,f2f,2f,f2f,2f,f2f,f2f,2f,2f,f2f,f2f,f2f,2f,2f,2f,2f,f2f,f2f,f2f,2f,f2f,f2f,f2f,f2f,f2f,2f,f2f,f2f,f2f,f2f,f2f,2f,f2f,f2f,f2f,2f,2f,f2f,2f,f2f,f2f,f2f,f2f,2f,f2f,f2f,2f,2f,f2f,f2f,2f,2f,2f,2f,f2f,f2f,2f,f2f,f2f,2f,2f,2f,f2f,2f,f2f,f2f,f2f,2f,2f,2f,2f,f2f,2f,2f,f2f,2f,2f,2f,f2f,f2f,2f,f2f,2f,2f,2f,2f,2f,2f
node_label,+,+,-,Maxi,/,observation1,0.435,Mini,/,Maxi,observation1,sin,observation0,+,+,observation0,0.09,/,+,/,observation0,1.195,0.255,observation1,sin,Maxi,Maxi,observation1,/,+,+,*,Mini,observation1,~,~,/,sin,Maxi,observation1,+,Maxi,-,0.745,0.37,Mini,observation1,/,-,+,+,0.94,Maxi,~,0.13,observation1,~,+,0.255,observation1,observation1,0.09,sin,Maxi,0.94,/,*,0.09,0.05,0.05,Mini,0.94,/,-,/,observation1,observation0,observation0,observation1,sin,observation0,observation1,Mini,observation1,0.435,observation1,+,/,observation1,+,observation0,1.22,0.165,observation1,observation0,0.94
node_parent,,1,1,2,2,3,3,4,4,5,5,8,8,9,9,10,10,12,14,14,15,15,18,18,19,19,20,20,25,26,26,27,27,29,29,30,30,31,31,32,32,33,33,35,36,37,37,38,39,39,41,41,42,42,43,43,46,46,48,48,49,49,50,50,51,51,53,53,54,57,58,58,63,64,64,66,66,65,65,71,71,71,71,72,72,73,73,80,77,77,81,81,88,88,83,83
node_arity,2,2,2,2,2,0,0,2,2,2,0,1,0,2,2,0,0,2,2,2,0,0,0,0,1,2,2,0,2,2,2,2,2,0,1,1,2,1,2,0,2,2,2,0,0,2,0,2,2,2,2,0,2,1,0,0,1,2,0,0,0,0,1,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,1,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0
node_c1,2,4,6,8,10,,,12,14,16,,18,,19,21,,,23,25,27,,,,,29,30,32,,34,36,38,40,42,,44,45,46,48,49,,51,53,55,,,57,,59,61,63,65,,67,69,,,70,71,,,,,73,74,,76,78,,,,80,,82,84,86,,,,,88,,,89,,,,91,93,,95,,,,,,
node_c2,3,5,7,9,11,,,13,15,17,,,,20,22,,,24,26,28,,,,,,31,33,,35,37,39,41,43,,,,47,,50,,52,54,56,,,58,,60,62,64,66,,68,,,,,72,,,,,,75,,77,79,,,,81,,83,85,87,,,,,,,,90,,,,92,94,,96,,,,,,
